application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_user_name,session_user_email,session_flagged,created_at
APP_0001,24,91644,15,53289,72,186803,deposit,1,692,3057,222800,0.03335733926934624,0.2852684378730519,3.5054701720804764,0.008076087905260708,2.0726700567677088,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0002,55,30613,18,39667,24,178413,land,0,423,32021,23329,1.045993532159506,0.2223324533526132,4.497768926311431,0.053989862692246635,0.0,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0003,49,62349,5,52665,24,128718,house,0,408,15522,40397,0.24895347158735107,0.4091502353983094,2.444090002848145,0.03519503119390099,1.0845787833545317,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0004,40,79387,5,96050,24,83768,house,1,736,10076,112141,0.12692254399334743,1.1466192340750507,0.8721290994273725,0.05041232611342574,0.0,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0005,40,146171,3,12277,24,128318,deposit,0,337,865,149790,0.005917726498416199,0.09567636652690896,10.451901930438181,0.0034996111858395236,2.69691628063243,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0006,58,149046,16,99569,12,69273,car,0,766,44402,216308,0.29790802839391667,1.437342110201645,0.6957285902238578,0.05567017340938476,0.0,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0007,24,43942,0,47709,36,74833,deposit,0,723,41859,114125,0.9525966046151529,0.6375395881496045,1.568530046741672,0.030159073323088557,0.02695025459386269,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0008,51,136459,17,78349,72,124878,house,0,847,40587,15346,0.29742999728856073,0.6274043466423178,1.5938684603504627,0.007974413967128837,0.4172341657986775,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0009,29,36366,14,45324,12,117708,car,0,667,2906,104364,0.07990980586261674,0.3850545417473716,2.5970346836112745,0.10386074904265374,1.46941595208806,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
APP_0010,25,118576,13,34541,24,119549,car,0,780,17478,137361,0.14739913641883562,0.28892755271896636,3.461075243912931,0.012137433656670442,1.8187829478617439,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-19 16:05:43
