application_id,customer_name,email,phone,address,national_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,monthly_income,monthly_bills,DTI,LTV,CCR,ITI,CWI,monthly_ndi,ndi_ratio,session_user_email,created_at
APP_0001,Julia Ngo,chris.do@gmail.com,+1-202-555-1000,"44 Maple Dr, Los Angeles, CA",18032585,34,145872,11,32049,72,25249,car,0,646,1180,189047,3560,1667,0.008089283755621311,1.269317596736454,0.7878248931323665,0.0030514766370092596,0.0,1893,0.5317415730335585,dzoan nguyen,2025-10-22 14:47:07
APP_0002,Emma Tran,ivan.pham@gmail.com,+1-202-555-1001,"22 Bay St, Toronto, CA",79656043,25,132196,2,96505,60,192191,car,0,746,47189,205677,11011,3796,0.3569623891797002,0.5021306929044519,1.9915133930884203,0.012166908731276647,0.6375804033879164,7215,0.6552538370719594,dzoan nguyen,2025-10-22 14:47:07
APP_0003,Emma Tran,giang.ho@gmail.com,+1-202-555-1002,"44 Maple Dr, Los Angeles, CA",49499059,50,129212,23,64219,36,54991,car,0,503,25671,172273,3942,1245,0.19867349781753862,1.167809277881814,0.8563042090346961,0.013805692281379019,0.0,2697,0.6841704718415311,dzoan nguyen,2025-10-22 14:47:07
APP_0004,Duy Le,alice.nguyen@gmail.com,+1-202-555-1003,"10 Broadway, New York, NY",48971370,50,82849,5,79290,24,133283,land,0,578,20102,207950,11692,4378,0.24263418991176425,0.5948995745894031,1.6809559843611843,0.03987676374925834,0.5157327807301556,7314,0.6255559356824645,dzoan nguyen,2025-10-22 14:47:07
APP_0005,Hanh Vo,bao.tran@gmail.com,+1-202-555-1004,"21 Königstr, Berlin, DE",87273811,26,123017,11,48770,60,137309,deposit,0,325,46497,186722,3510,2728,0.37797215019062097,0.3551842923624791,2.8154398195611483,0.006607487853872062,1.1292541274199654,782,0.2227920227919593,dzoan nguyen,2025-10-22 14:47:07
APP_0006,Giang Ho,hanh.vo@gmail.com,+1-202-555-1005,"55 Nguyen Hue, Ho Chi Minh",17735107,33,73136,29,87346,24,103137,deposit,0,705,11234,31480,7278,4396,0.15360424414788676,0.8468929676061855,1.180786756119328,0.0497623149545364,0.15301714309368816,2882,0.39598790876609014,dzoan nguyen,2025-10-22 14:47:07
APP_0007,Julia Ngo,alice.nguyen@gmail.com,+1-202-555-1006,"55 Nguyen Hue, Ho Chi Minh",72763121,31,110770,17,12046,24,177653,land,1,569,20143,227872,9788,4236,0.18184526496343612,0.06780634157599327,14.747883114725655,0.004531160663047295,2.2880359668319747,5552,0.5672251736820016,dzoan nguyen,2025-10-22 14:47:07
APP_0008,Giang Ho,hanh.vo@gmail.com,+1-202-555-1007,"21 Königstr, Berlin, DE",18475961,50,104945,13,15839,72,29252,house,1,552,42333,139583,2320,5959,0.40338272428414496,0.5414672501025386,1.8468337647577595,0.0020962038316075433,0.5052356537140338,0,0.0,dzoan nguyen,2025-10-22 14:47:07
APP_0009,Ivan Pham,chris.do@gmail.com,+1-202-555-1008,"22 Bay St, Toronto, CA",57383107,53,56224,16,53176,36,52934,deposit,0,592,31601,24920,2200,3136,0.5620553500284476,1.0045717308346054,0.9954490747705546,0.026271896540090604,0.0,0,0.0,dzoan nguyen,2025-10-22 14:47:07
APP_0010,Felix Nguyen,ivan.pham@gmail.com,+1-202-555-1009,"55 Nguyen Hue, Ho Chi Minh",97806010,52,58307,23,74579,12,56467,land,0,418,19959,128620,10422,2312,0.34230881369303273,1.3207537145589225,0.7571434317971445,0.10658954612908657,0.0,8110,0.7781615812703149,dzoan nguyen,2025-10-22 14:47:07
