application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,current_loans,customer_type,customer_name,email,phone,address,national_id,DTI,LTV,CCR,ITI,CWI,currency_code,session_user_name,session_user_email,session_flagged,created_at
APP_00001,56,91216.0,26,71444.0,60,19740.0,car,0,820,30959.0,45303.0,4,bank,Bao Tran,felix.nguyen@gmail.com,+1-202-555-1000,"8 Rue Lafayette, Paris, FR",87211473,0.339403174881596,3.619250253292623,0.2763003191310638,0.01305399637468728,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00002,53,57543.0,1,14483.0,60,130964.0,deposit,1,423,41461.0,291694.0,2,bank,Emma Tran,chris.do@gmail.com,+1-202-555-1001,"44 Maple Dr, Los Angeles, CA",17637259,0.7205220443841872,0.11058764240554571,9.042601670923908,0.00419483400812099,0.7457134421998148,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00003,45,53627.0,11,76549.0,72,67606.0,real_estate,0,319,32009.0,158440.0,4,bank,Julia Ngo,chris.do@gmail.com,+1-202-555-1002,"21 Königstr, Berlin, DE",76996321,0.5968821675648349,1.1322811584770414,0.8831728696651702,0.01982547141441381,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00004,60,65311.0,13,15203.0,72,46694.0,car,0,698,29704.0,170373.0,2,bank,Emma Tran,duy.le@gmail.com,+1-202-555-1003,"8 Rue Lafayette, Paris, FR",56037801,0.45480853148779754,0.3255878699618725,3.0713674932577075,0.003233035442342666,1.1030512186737875,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00005,26,99682.0,23,9831.0,60,11322.0,deposit,2,592,23367.0,129963.0,1,non-bank,Emma Tran,julia.ngo@gmail.com,+1-202-555-1004,"19 Pine Ave, San Jose, CA",78172503,0.23441544110270424,0.8683094859564681,1.1516631064997302,0.001643727051998029,0.11611093249073512,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00006,61,55310.0,3,15956.0,36,178507.0,deposit,0,760,12242.0,88566.0,0,bank,Hanh Vo,felix.nguyen@gmail.com,+1-202-555-1005,"44 Maple Dr, Los Angeles, CA",50566382,0.22133429759536755,0.08938585041482917,11.187452995737578,0.008013419313142334,2.1271920192190024,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00007,58,139271.0,13,48684.0,48,168741.0,car,1,359,14038.0,285037.0,3,bank,Emma Tran,hanh.vo@gmail.com,+1-202-555-1006,"14 High St, London, UK",24230964,0.10079628924901739,0.2885131651465839,3.4660463396597763,0.007282564209195473,1.9193148061519896,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00008,43,84982.0,4,63859.0,36,163856.0,land,1,344,37283.0,151802.0,3,bank,Emma Tran,felix.nguyen@gmail.com,+1-202-555-1007,"55 Nguyen Hue, Ho Chi Minh",77618092,0.4387164340683858,0.3897263450834856,2.5659030050579785,0.020873374491796104,0.8789156225819849,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00009,53,132909.0,23,43695.0,48,19162.0,real_estate,0,611,3490.0,205683.0,4,non-bank,Giang Ho,bao.tran@gmail.com,+1-202-555-1008,"22 Bay St, Toronto, CA",66797188,0.026258567892317106,2.2802943325330194,0.4385398787046473,0.006849141141540667,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00010,43,110407.0,18,16587.0,60,75116.0,real_estate,0,785,4224.0,20819.0,3,bank,Bao Tran,alice.nguyen@gmail.com,+1-202-555-1009,"8 Rue Lafayette, Paris, FR",51814232,0.0382584437580947,0.22081846743702777,4.52860674021797,0.0025039173240409573,2.2481137791661974,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00011,32,66669.0,14,23921.0,36,194499.0,car,0,523,19833.0,90019.0,0,bank,Giang Ho,chris.do@gmail.com,+1-202-555-1010,"14 High St, London, UK",43545367,0.29748458803941413,0.12298777885747422,8.130889176873536,0.009966734497348913,1.8483438054912296,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00012,56,53531.0,11,85976.0,48,119092.0,deposit,2,738,38720.0,243160.0,2,bank,Giang Ho,julia.ngo@gmail.com,+1-202-555-1011,"19 Pine Ave, San Jose, CA",40943436,0.7233191982215778,0.7219292647700877,1.3851772587698732,0.033460362530670404,0.10657115278326887,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
APP_00013,31,117993.0,4,96449.0,12,32671.0,land,0,798,32851.0,35472.0,3,bank,Giang Ho,giang.ho@gmail.com,+1-202-555-1012,"55 Nguyen Hue, Ho Chi Minh",53302088,0.2784148212182055,2.9521287992408265,0.33873860796897487,0.06811774144226194,0.0,USD,dzoan nguyen,dzoan,False,2025-10-23 03:25:59
