application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,co_loaners,credit_score,existing_debt,DTI,LTV,CCR,ITI,CWI,synthetic_score,synthetic_approved,customer_name,email,address,national_id,session_user_name,session_user_email,session_flagged,created_at
APP_0001,24,74445,29,75105,12,120457,1,783,51276,0.6887769494257413,0.6235005022539112,1.6038479462086197,0.0840721337830392,0.18793139990205426,0.0,0,Chris Do,giang.ho@gmail.com,"22 Bay St, Toronto, CA",56218464,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0002,55,147658,23,94142,36,267069,0,562,14482,0.09807799103333313,0.3525006646222499,2.8368740838307787,0.01771021925993104,1.6567171639074743,0.264,1,Julia Ngo,julia.ngo@gmail.com,"55 Nguyen Hue, Ho Chi Minh",35744256,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0003,49,91833,9,89468,12,229269,1,841,17981,0.19580107368810562,0.3902315620515622,2.562581034559814,0.08118722753307939,1.256625990268344,0.332,1,Hanh Vo,chris.do@gmail.com,"22 Bay St, Toronto, CA",27814253,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0004,40,119460,29,18742,24,22887,0,718,19349,0.16197053406998022,0.8188928212522034,1.221161028705516,0.006537055638993152,0.18533945877069866,0.588,1,Bao Tran,giang.ho@gmail.com,"19 Pine Ave, San Jose, CA",96793586,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0005,40,86751,14,99648,36,298353,0,657,10643,0.1226844647323936,0.3339936250012558,2.9940691233140355,0.03190741317014305,1.7494278202808715,0.093,0,Julia Ngo,chris.do@gmail.com,"21 Königstr, Berlin, DE",27990737,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0006,58,60892,15,65719,24,181279,0,796,9326,0.1531564080667386,0.3625295814738588,2.7583955933595647,0.044969645709658515,1.48908604032025,0.086,0,Duy Le,felix.nguyen@gmail.com,"10 Broadway, New York, NY",18485744,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0007,24,128170,13,40800,60,63966,0,583,20820,0.16244050869938237,0.6378388518900566,1.5677941176470205,0.005305453694223776,0.4755613523399551,0.149,0,Alice Nguyen,giang.ho@gmail.com,"55 Nguyen Hue, Ho Chi Minh",70654392,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0008,51,155838,4,63164,24,168887,0,696,52458,0.33661879644245735,0.3740015513331377,2.6737857007155554,0.016888264307958627,1.1103579726381043,0.0,0,Giang Ho,alice.nguyen@gmail.com,"8 Rue Lafayette, Paris, FR",88057272,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0009,29,60575,28,116137,36,140855,0,456,92,0.0015187783739166072,0.8245145717226877,1.212834841609468,0.05325675241746782,0.2125115926548313,0.209,0,Hanh Vo,emma.tran@gmail.com,"10 Broadway, New York, NY",21474621,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0010,25,130131,0,103335,36,309819,2,829,16994,0.13059148089233055,0.3335334501757467,2.9982000290317607,0.022057900627728295,1.7372521281214162,0.0,0,Giang Ho,hanh.vo@gmail.com,"44 Maple Dr, Los Angeles, CA",73705949,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0011,44,60253,5,100542,36,234400,0,642,3637,0.060362139644498033,0.4289334470989743,2.331364007081594,0.046351772247949626,1.25100002696849,0.019,0,Duy Le,hanh.vo@gmail.com,"44 Maple Dr, Los Angeles, CA",58671181,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0012,63,121780,6,57147,36,131452,0,730,33689,0.27663820003284384,0.43473663390438766,2.3002432323656135,0.013035117971937583,0.9405462849591215,0.0,0,Duy Le,giang.ho@gmail.com,"78 Oak St, Chicago, IL",84701725,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0013,53,131515,8,94744,36,111881,2,553,15036,0.11432916397369035,0.8468283265254972,1.1808768893016848,0.020011236571529128,0.16019738576567866,0.107,0,Duy Le,duy.le@gmail.com,"78 Oak St, Chicago, IL",21425911,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0014,54,85663,3,48055,60,134268,0,776,47518,0.554708567292757,0.357903595793485,2.794048486109608,0.009349621968099514,0.7988744207260203,0.0,0,Felix Nguyen,ivan.pham@gmail.com,"44 Maple Dr, Los Angeles, CA",97830777,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0015,52,124484,0,83281,24,88111,0,340,35101,0.28197198033481985,0.9451827808105577,1.0579964217528481,0.027875402995742853,0.04164305585888089,0.077,0,Hanh Vo,felix.nguyen@gmail.com,"55 Nguyen Hue, Ho Chi Minh",65719962,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0016,55,61752,20,77828,24,115314,1,362,47029,0.7615785723539196,0.6749223858334575,1.4816518476640606,0.05251381871353419,0.11483612114844294,0.0,0,Emma Tran,duy.le@gmail.com,"8 Rue Lafayette, Paris, FR",85793918,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0017,43,35699,29,32226,36,41444,1,578,38094,1.067088713969549,0.7775793842293028,1.2860423260720757,0.025075398936714642,0.0,0.0,0,Felix Nguyen,alice.nguyen@gmail.com,"78 Oak St, Chicago, IL",42576597,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0018,26,38012,3,34176,48,87269,0,702,26303,0.6919656950436522,0.3916167252976384,2.5535170880149067,0.0187309270752696,0.4785365564444937,0.0,0,Giang Ho,giang.ho@gmail.com,"10 Broadway, New York, NY",94904410,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0019,57,85348,8,10152,12,14176,0,745,51658,0.6052631578947297,0.7161399548532226,1.3963750985026204,0.009912358812502811,0.15646385467215662,0.0,0,Alice Nguyen,chris.do@gmail.com,"55 Nguyen Hue, Ho Chi Minh",66372648,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
APP_0020,40,146851,15,19352,36,54597,0,542,28575,0.19458498750433983,0.35445170980089835,2.8212587846215986,0.003660550868163103,1.466869166773892,0.391,1,Alice Nguyen,hanh.vo@gmail.com,"10 Broadway, New York, NY",21424172,dzoan nguyen,dzoannguyen@gmail.com,False,2025-10-20 11:20:29
