application_id,customer_name,email,phone,address,national_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_user_name,session_user_email,session_flagged,created_at
APP_0001,Ivan Pham,hanh.vo@gmail.com,+1-202-555-1000,"8 Rue Lafayette, Paris, FR",18032585,55,79212,10,56766,72,106895,car,0,539,6715,117600,0.08477250921577431,0.5310444829037791,1.8830814219779115,0.009953247824265344,0.8082203939950345,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0002,Giang Ho,giang.ho@gmail.com,+1-202-555-1001,"8 Rue Lafayette, Paris, FR",79656043,64,42987,15,15506,48,146373,deposit,0,383,41959,216055,0.9760857933793712,0.10593483770913963,9.439765252159845,0.007514868836158121,0.06414257706998902,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0003,Felix Nguyen,bao.tran@gmail.com,+1-202-555-1002,"78 Oak St, Chicago, IL",49499059,32,141797,29,42138,60,62668,house,0,733,11726,144601,0.08269568467597987,0.6724005872215378,1.4872086952394161,0.004952855137896359,0.446918638606538,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0004,Bao Tran,ivan.pham@gmail.com,+1-202-555-1003,"78 Oak St, Chicago, IL",48971370,56,26742,26,99719,48,192936,car,0,648,6916,17707,0.258619400194441,0.5168501471990685,1.9347967789488267,0.0776860057820398,0.693040196673397,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0005,Duy Le,chris.do@gmail.com,+1-202-555-1004,"10 Broadway, New York, NY",87273811,32,46784,25,9196,24,127686,house,0,573,34995,163850,0.7480121409028568,0.07202042510533596,13.884949978249903,0.008190121978682739,0.7015187590907502,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0006,Ivan Pham,duy.le@gmail.com,+1-202-555-1005,"10 Broadway, New York, NY",17735107,53,53707,14,88524,60,158144,land,0,516,38717,24343,0.7208929934645257,0.5597683124241163,1.7864533911707356,0.02747127934860228,0.21950465178934134,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0007,Duy Le,chris.do@gmail.com,+1-202-555-1006,"55 Nguyen Hue, Ho Chi Minh",72763121,56,59912,24,70027,24,96461,car,2,384,30246,279978,0.5048404326345223,0.7259617876654738,1.3774829708540794,0.04870128966726271,0.18691430453595345,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0008,Emma Tran,emma.tran@gmail.com,+1-202-555-1007,"22 Bay St, Toronto, CA",18475961,41,41477,11,31971,24,174425,deposit,0,807,5785,184452,0.1394748896979015,0.18329367923176046,5.455725501235324,0.03211719748160336,2.1083888902905312,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0009,Felix Nguyen,ivan.pham@gmail.com,+1-202-555-1008,"21 Königstr, Berlin, DE",57383107,54,27245,21,78909,48,22242,land,0,656,5767,117889,0.21167186639749636,3.547747504720639,0.28186898832832397,0.060339053035995266,0.0,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0010,Giang Ho,julia.ngo@gmail.com,+1-202-555-1009,"10 Broadway, New York, NY",97806010,33,109708,19,84506,72,29907,deposit,2,475,19503,150996,0.17777190359864203,2.825626107600133,0.3539038648143285,0.010698348747840926,0.0,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0011,Bao Tran,alice.nguyen@gmail.com,+1-202-555-1010,"19 Pine Ave, San Jose, CA",76217712,24,146164,7,9105,36,105366,land,0,528,22530,189562,0.1541419227716801,0.0864130744262847,11.572322899504494,0.001730362241452338,2.3182946407401452,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0012,Emma Tran,bao.tran@gmail.com,+1-202-555-1011,"55 Nguyen Hue, Ho Chi Minh",78502572,25,40229,8,15109,36,148623,car,0,700,49931,85453,1.241169305724695,0.10165990459080963,9.836719835858771,0.010432634279568866,0.0,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
APP_0013,Duy Le,hanh.vo@gmail.com,+1-202-555-1012,"14 High St, London, UK",74572954,41,62067,1,68246,12,163370,deposit,1,696,14324,93634,0.23078286367956838,0.4177388749464381,2.393839932010632,0.09162947566649982,1.0721655609902994,dzoan,daon@gmai.com,False,2025-10-19 18:47:05
