application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_user_name,session_user_email,session_flagged,created_at
APP_0001,24,131958,10,96227,48,192569,house,0,333,26486,65032,0.20071537913578413,0.49970140572989163,2.0011950907749174,0.015192176045596983,0.8002398385411565,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0002,55,60172,24,92856,60,36374,house,2,515,13017,15266,0.21632985441733338,2.552812448452121,0.3917248212285647,0.025719603802003943,0.0,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0003,49,139706,0,52420,60,24561,house,2,572,11450,25054,0.08195782571972512,2.134277920280032,0.4685425410148709,0.006253608768786591,0.0,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0004,40,61699,26,7361,12,187736,deposit,1,803,16124,182756,0.2613332468921658,0.039209315208590584,25.50414345876572,0.009942084419772422,2.129112406653369,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0005,40,79289,16,61708,60,114562,car,0,420,29873,55315,0.3767609630591838,0.5386428309561587,1.8565177934789354,0.012971114109769484,0.5338153247305003,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0006,58,107739,4,57743,48,92077,land,0,573,12124,77071,0.11253120968265796,0.6271164351575244,1.5946002112809936,0.011165679713396203,0.5276891302280043,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0007,24,40785,9,19079,24,149598,car,1,489,45708,255743,1.12070614196393,0.1275351274749654,7.840976990407891,0.019491438845168338,0.0,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0008,51,94629,16,65227,48,81597,house,0,373,23993,263427,0.2535480666603234,0.7993798791622143,1.2509696904655856,0.014360247210738872,0.18733681065771712,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0009,29,88126,9,84875,72,32560,car,0,356,43163,253318,0.48978734993077533,2.6067260442259643,0.3836229749631766,0.013376522756372222,0.0,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0010,25,122987,3,15060,72,148099,house,0,500,34162,83562,0.27776919511818093,0.1016887352379145,9.833930942894433,0.0017007217564763743,1.9463642033505777,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0011,44,149513,19,73715,72,41791,deposit,0,345,16667,189708,0.11147525633222455,1.763896532746243,0.566926677067075,0.006847695146443573,0.0,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
APP_0012,63,108039,20,18332,36,114174,house,0,336,11412,187123,0.10562852303334809,0.16056194930544465,6.228125681867432,0.004713318544304117,2.25230834766509,test,dzoannguyen@gmail.com,False,2025-10-19 14:58:45
